Scheme Name,Plan,Category Name,Crisil Rank,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
Canara Robeco Conservative Hybrid Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,3,1023.5,0%,2%,4%,6%,0%,11%,7%,9%,11%,10%
SBI Contra Fund - Direct Plan - Growth,Direct Plan,Contra Fund,5,18930.58,2%,7%,14%,25%,0%,39%,26%,34%,26%,20%
SBI Contra Fund - Regular Plan - Growth,Regular,Contra Fund,5,18930.58,2%,7%,13%,24%,0%,38%,25%,33%,25%,19%
Kotak India EQ Contra Fund - Direct Plan - Growth,Direct Plan,Contra Fund,3,2054.55,2%,7%,17%,25%,0%,36%,22%,25%,21%,19%
Kotak India EQ Contra Fund - Growth,Regular,Contra Fund,3,2054.55,2%,7%,16%,24%,0%,34%,20%,23%,19%,17%
Invesco India Contra Fund - Direct Plan - Growth,Direct Plan,Contra Fund,2,12063.43,1%,7%,12%,21%,0%,29%,17%,21%,19%,21%
Templeton India Equity Income Fund - Direct - Growth,Direct Plan,Dividend Yield Fund,,1705.64,2%,10%,16%,24%,1%,35%,20%,27%,22%,18%
Templeton India Equity Income Fund - Growth,Regular,Dividend Yield Fund,,1705.64,2%,10%,16%,24%,1%,34%,19%,26%,21%,17%
HDFC Dividend Yield Fund - Direct Plan - Growth,Direct Plan,Dividend Yield Fund,,3995.59,2%,8%,14%,26%,0%,39%,23%,30%,,
HDFC Dividend Yield Fund - Regular Plan - Growth,Regular,Dividend Yield Fund,,3995.59,2%,8%,13%,25%,0%,37%,22%,28%,,
UTI Dividend Yield Fund - Direct Plan - Growth,Direct Plan,Dividend Yield Fund,1,3281.46,1%,8%,13%,24%,0%,36%,14%,22%,18%,16%
UTI Dividend Yield Fund - Growth,Regular,Dividend Yield Fund,1,3281.46,1%,8%,13%,23%,0%,35%,13%,21%,17%,15%
Sundaram Dividend Yield Fund - Direct Plan - Growth,Direct Plan,Dividend Yield Fund,,659.34,1%,7%,16%,24%,0%,35%,18%,22%,19%,18%
Sundaram Dividend Yield Fund - Growth,Regular,Dividend Yield Fund,3,659.34,1%,7%,15%,23%,0%,34%,17%,21%,18%,17%
ICICI Prudential Dividend Yield Equity Fund - Direct Plan - Growth,Direct Plan,Dividend Yield Fund,,2901.68,1%,7%,15%,27%,0%,40%,25%,32%,21%,
ICICI Prudential Dividend Yield Equity Fund - Growth,Regular,Dividend Yield Fund,,2901.68,1%,7%,15%,26%,0%,38%,23%,30%,20%,
Tata Dividend Yield Fund - Direct Plan - Growth,Direct Plan,Dividend Yield Fund,,639.71,1%,8%,13%,24%,0%,37%,19%,,,
Aditya Birla Sun Life Dividend Yield Fund - Direct Plan - Growth,Direct Plan,Dividend Yield Fund,1,1113.83,1%,8%,17%,29%,0%,40%,22%,27%,20%,16%
Sundaram Balanced Advantage Fund - Direct Plan - Growth,Direct Plan,Dynamic Asset Allocation or Balanced Advantage,,1541.18,1%,4%,7%,11%,0%,15%,11%,12%,10%,11%
Quant ELSS Tax Saver Fund - Direct Plan - Growth,Direct Plan,ELSS,4,5614.57,3%,10%,18%,29%,1%,32%,23%,35%,31%,26%
Quant ELSS Tax Saver Fund - Growth,Regular,ELSS,4,5614.57,3%,10%,17%,28%,0%,30%,21%,33%,29%,25%
SBI Long Term Equity Fund - Direct Plan - Growth,Direct Plan,ELSS,5,17279.15,3%,8%,14%,26%,1%,41%,23%,26%,20%,18%
SBI Long Term Equity Fund - Regular Plan - Growth,Regular,ELSS,5,17279.15,3%,8%,14%,25%,1%,40%,23%,25%,20%,17%
