Scheme Name,Plan,Category Name,Crisil Rank,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
SBI Nifty 50 ETF,Regular,Index Funds/ETFs,4,155471.40,1%,0%,1%,8%,10%,8%,5%,17%,14%,
SBI S&P BSE Sensex ETF,Regular,Index Funds/ETFs,5,95206.91,1%,1%,1%,6%,9%,7%,5%,16%,15%,14%
HDFC Mid-Cap Opportunities Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,5,47846.43,2%,3%,10%,28%,34%,35%,21%,34%,22%,23%
HDFC Mid-Cap Opportunities Fund - Growth,Regular,Mid Cap Fund,5,47846.43,2%,3%,9%,28%,33%,34%,20%,33%,21%,22%
Parag Parikh Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,44037.86,2%,4%,8%,16%,29%,26%,9%,24%,23%,20%
Parag Parikh Flexi Cap Fund - Growth,Regular,Flexi Cap Fund,-,44037.86,2%,4%,8%,16%,28%,25%,8%,23%,22%,19%
UTI Nifty 50 ETF,Regular,Index Funds/ETFs,5,43482.82,1%,0%,1%,8%,10%,8%,5%,17%,14%,
UTI Nifty 50 ETF,Regular,Index Funds/ETFs,5,42363.48,1%,0%,1%,8%,10%,8%,5%,17%,14%,
ICICI Prudential Bluechip Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,5,41269.16,1%,1%,5%,14%,16%,15%,10%,21%,16%,16%
ICICI Prudential Bluechip Fund - Growth,Regular,Large Cap Fund,5,41269.16,1%,1%,4%,14%,15%,15%,9%,20%,15%,15%
HDFC Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,5,39395.62,2%,2%,4%,15%,18%,18%,16%,29%,18%,18%
HDFC Flexi Cap Fund - Growth,Regular,Flexi Cap Fund,5,39395.62,2%,1%,4%,14%,17%,17%,15%,29%,17%,17%
Kotak Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,3,39269.21,1%,0%,4%,11%,14%,13%,8%,18%,15%,18%
Kotak Flexi Cap Fund - Growth,Regular,Flexi Cap Fund,3,39269.21,1%,0%,4%,11%,13%,12%,7%,17%,14%,17%
SBI Blue Chip Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,4,38597.97,1%,0%,2%,9%,14%,12%,7%,19%,15%,16%
SBI Blue Chip Fund - Regular Plan - Growth,Regular,Large Cap Fund,4,38597.97,1%,0%,2%,8%,13%,11%,6%,18%,14%,15%
Nippon India Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,5,37319.33,2%,2%,10%,29%,37%,39%,23%,44%,27%,30%
Nippon India Small Cap Fund - Growth,Regular,Small Cap Fund,5,37319.33,2%,2%,9%,28%,36%,37%,22%,43%,26%,28%
Mirae Asset Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,2,34376.99,1%,0%,2%,9%,10%,9%,4%,17%,14%,17%
Mirae Asset Large Cap Fund - Regular - Growth,Regular,Large Cap Fund,1,34376.99,1%,0%,1%,8%,9%,8%,3%,15%,13%,16%
Kotak Emerging Equity Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,3,33699.92,1%,2%,7%,21%,24%,23%,14%,30%,23%,25%
Kotak Emerging Equity Fund - Growth,Regular,Mid Cap Fund,3,33699.92,1%,2%,7%,20%,23%,22%,12%,29%,21%,23%
UTI S&P BSE Sensex ETF,Regular,Index Funds/ETFs,5,31838.23,1%,1%,1%,6%,9%,7%,5%,16%,15%,
Axis Bluechip Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,1,30733.59,1%,1%,3%,7%,8%,5%,1%,12%,14%,15%
Axis Bluechip Fund - Growth,Regular,Large Cap Fund,1,30733.59,1%,1%,3%,7%,7%,5%,2%,10%,13%,14%
Mirae Asset Emerging Bluechip Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,2,28103.78,1%,0%,5%,16%,18%,17%,7%,22%,19%,24%
Mirae Asset Emerging Bluechip Fund - Growth,Regular,Large & Mid Cap Fund,2,28103.78,1%,0%,4%,16%,17%,16%,6%,21%,18%,23%
HDFC Top 100 Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,5,25772.59,2%,1%,5%,14%,18%,17%,12%,23%,15%,16%
HDFC Top 100 Fund - Growth,Regular,Large Cap Fund,5,25772.59,2%,1%,5%,13%,17%,16%,11%,22%,14%,15%
CPSE ETF,Regular,Index Funds/ETFs,-,24970.66,4%,6%,20%,33%,49%,48%,37%,47%,17%,
UTI Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,1,24369.57,1%,0%,2%,10%,11%,6%,3%,14%,15%,16%
UTI Flexi Cap Fund - Growth,Regular,Flexi Cap Fund,1,24369.57,1%,0%,2%,9%,11%,5%,4%,13%,14%,15%
HDFC Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,4,23183.60,2%,1%,9%,25%,36%,39%,21%,40%,22%,22%
HDFC Small Cap Fund - Growth,Regular,Small Cap Fund,4,23183.60,2%,1%,8%,24%,35%,38%,20%,39%,21%,21%
Aditya Birla Sun Life Frontline Equity Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,3,23003.37,1%,0%,3%,11%,13%,11%,6%,19%,14%,15%
Aditya Birla Sun Life Frontline Equity Fund - Regular Plan - Growth,Regular,Large Cap Fund,4,23003.37,1%,0%,3%,10%,12%,11%,5%,18%,13%,14%
Axis Midcap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,1,21962.26,1%,1%,5%,16%,21%,18%,6%,22%,20%,22%
Axis Midcap Fund - Growth,Regular,Mid Cap Fund,2,21962.26,1%,1%,5%,15%,20%,17%,4%,21%,19%,20%
SBI Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,2,21140.15,1%,0%,5%,17%,20%,20%,13%,31%,24%,28%
SBI Small Cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,2,21140.15,1%,0%,5%,16%,19%,19%,12%,30%,22%,27%
Nippon India Growth Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,4,19081.97,2%,4%,11%,28%,34%,34%,16%,33%,23%,21%
Nippon India Growth Fund - Growth,Regular,Mid Cap Fund,4,19081.97,2%,4%,11%,27%,33%,33%,15%,32%,23%,20%
SBI Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,3,17569.59,1%,0%,3%,10%,14%,13%,5%,19%,15%,18%
SBI Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,3,17569.59,1%,0%,3%,9%,13%,12%,4%,18%,14%,17%
Canara Robeco Emerging Equities - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,1,17563.09,1%,1%,4%,12%,15%,13%,5%,20%,18%,23%
Canara Robeco Emerging Equities - Regular Plan - Growth,Regular,Large & Mid Cap Fund,1,17563.09,1%,1%,4%,11%,14%,12%,4%,19%,16%,22%
Aditya Birla Sun Life Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,2,17029.06,1%,0%,4%,14%,15%,13%,5%,19%,15%,18%
Aditya Birla Sun Life Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,3,17029.06,1%,0%,4%,13%,14%,12%,4%,18%,14%,17%
Nippon India Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,5,16637.85,1%,0%,3%,14%,20%,19%,13%,26%,16%,18%
Nippon India Large Cap Fund - Growth,Regular,Large Cap Fund,5,16637.85,1%,0%,3%,13%,20%,18%,12%,25%,15%,17%
Axis Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,3,16369.16,2%,3%,10%,23%,28%,29%,16%,34%,27%,
Axis Small Cap Fund - Growth,Regular,Small Cap Fund,3,16369.16,2%,3%,10%,22%,27%,27%,15%,32%,26%,
Nippon India ETF Nifty 50 BeES,Regular,Index Funds/ETFs,4,16230.45,1%,0%,1%,8%,10%,8%,5%,17%,14%,14%
SBI Large & Midcap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,4,15648.67,1%,1%,3%,13%,16%,15%,10%,26%,18%,18%
SBI Large & Midcap Fund - Regular Plan - Growth,Regular,Large & Mid Cap Fund,4,15648.67,1%,1%,3%,12%,15%,14%,10%,25%,17%,18%
Kotak Equity Opportunities Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,4,15260.53,1%,1%,6%,16%,20%,19%,12%,24%,19%,19%
Kotak Equity Opportunities Fund - Growth,Regular,Large & Mid Cap Fund,4,15260.53,1%,0%,5%,15%,19%,18%,11%,22%,18%,17%
DSP Midcap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,1,14463.65,2%,2%,8%,24%,26%,24%,8%,20%,17%,21%
DSP Midcap Fund - Regular Plan - Growth,Regular,Mid Cap Fund,1,14463.65,2%,2%,8%,23%,25%,23%,7%,19%,16%,19%
SBI Magnum Midcap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,4,13202.34,1%,1%,8%,17%,26%,24%,13%,33%,22%,22%
SBI Magnum Midcap Fund - Regular Plan - Growth,Regular,Mid Cap Fund,4,13202.34,1%,1%,8%,17%,25%,23%,12%,32%,21%,21%
UTI Nifty 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,4,12597.69,1%,0%,1%,8%,10%,8%,5%,17%,14%,14%
UTI Nifty 50 Index Fund - Growth,Regular,Index Funds/ETFs,4,12597.69,1%,0%,1%,8%,9%,8%,5%,17%,14%,13%
Kotak Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,3,12162.88,1%,1%,5%,20%,25%,24%,10%,35%,26%,24%
Kotak Small Cap Fund - Growth,Regular,Small Cap Fund,3,12162.88,1%,1%,5%,19%,24%,22%,9%,33%,24%,23%
ICICI Prudential Flexicap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,-,12009.31,1%,1%,7%,14%,17%,15%,11%,,,
ICICI Prudential Flexicap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,12009.31,1%,1%,7%,15%,18%,17%,13%,,,
Franklin India Flexi Cap Fund - Direct - Growth,Direct Plan,Flexi Cap Fund,4,11940.27,1%,1%,6%,18%,19%,18%,10%,26%,17%,18%
Franklin India Flexi Cap Fund - Growth,Regular,Flexi Cap Fund,4,11940.27,1%,1%,6%,18%,19%,17%,9%,25%,17%,17%
BHARAT 22 ETF,Regular,Index Funds/ETFs,-,11892.64,3%,3%,13%,24%,37%,40%,29%,41%,17%,
HDFC Large and Mid Cap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,5,11883.08,2%,2%,7%,21%,25%,24%,14%,30%,19%,14%
HDFC Large and Mid Cap Fund - Regular - Growth,Regular,Large & Mid Cap Fund,5,11883.08,2%,2%,6%,20%,24%,23%,13%,29%,18%,14%
DSP Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,3,11837.10,2%,1%,8%,27%,32%,34%,17%,34%,24%,26%
DSP Small Cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,3,11837.10,2%,1%,8%,27%,31%,32%,16%,33%,23%,25%
Mirae Asset Midcap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,4,11783.59,2%,0%,6%,23%,23%,23%,12%,30%,,
Mirae Asset Midcap Fund - Regular Plan - Growth,Regular,Mid Cap Fund,4,11783.59,2%,0%,6%,23%,22%,21%,10%,28%,,
HSBC Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,4,11551.58,3%,3%,13%,28%,38%,38%,20%,42%,23%,
HSBC Small Cap Fund - Growth,Regular,Small Cap Fund,4,11551.58,2%,3%,12%,27%,37%,37%,19%,41%,22%,
UTI Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,2,11077.63,1%,0%,3%,11%,12%,9%,3%,17%,15%,15%
UTI Large Cap Fund - Growth,Regular,Large Cap Fund,2,11077.63,1%,0%,3%,10%,11%,8%,2%,16%,13%,14%
Axis Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,1,10604.83,1%,0%,4%,10%,11%,8%,0%,14%,15%,
Axis Flexi Cap Fund - Growth,Regular,Flexi Cap Fund,1,10604.83,1%,0%,3%,10%,10%,7%,1%,13%,13%,
Canara Robeco Bluechip Equity Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,3,10182.11,1%,0%,3%,9%,13%,11%,5%,17%,17%,16%
Canara Robeco Bluechip Equity Fund - Regular Plan - Growth,Regular,Large Cap Fund,3,10182.11,1%,0%,2%,8%,11%,10%,4%,15%,15%,14%
Canara Robeco Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,2,10083.64,1%,1%,4%,10%,13%,12%,5%,18%,17%,16%
Canara Robeco Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,2,10083.64,1%,1%,3%,9%,12%,10%,3%,17%,15%,15%
HDFC Index Fund - Direct Plan - Nifty 50 Plan,Direct Plan,Index Funds/ETFs,3,9809.26,1%,0%,1%,8%,10%,8%,5%,17%,14%,14%
HDFC Index Fund - Nifty 50 Plan,Regular,Index Funds/ETFs,3,9809.26,1%,0%,1%,8%,9%,8%,5%,16%,14%,13%
Franklin India Smaller Companies Fund - Direct - Growth,Direct Plan,Small Cap Fund,5,9683.62,3%,4%,13%,30%,41%,43%,20%,39%,22%,24%
